# Residuals    
# Time         	p              	sigmaxx        	sigmaxy        	sigmayy        	sigmazz        
7.15           	9.93769520e-01	2.03134650e-01	2.48486190e-01	1.83388280e-01	0.00000000e+00
7.2            	9.91353040e-01	6.08066660e-01	7.78811480e-01	2.25541100e-01	0.00000000e+00
7.25           	9.88771240e-01	9.19556240e-01	9.98499690e-01	1.51608200e-01	0.00000000e+00
7.3            	9.84613090e-01	3.64320870e-01	3.56329520e-01	1.65271480e-01	0.00000000e+00
7.35           	9.83420980e-01	2.03654150e-01	1.93176460e-01	1.67272550e-01	0.00000000e+00
7.4            	5.58594240e-01	1.26997500e-01	1.15164890e-01	1.33908780e-01	0.00000000e+00
7.45           	1.28162650e-01	7.56114240e-02	6.31278910e-02	8.49242110e-02	0.00000000e+00
7.5            	5.85106250e-01	3.55825020e-02	2.10118650e-02	2.94197510e-02	0.00000000e+00
7.55           	9.99991670e-01	7.69914740e-03	1.96068470e-02	3.85437150e-02	0.00000000e+00
7.6            	9.96413190e-01	5.03753060e-02	6.35332660e-02	1.04438640e-01	0.00000000e+00
7.65           	9.93789740e-01	1.08086870e-01	1.21750520e-01	1.74118150e-01	0.00000000e+00
7.7            	9.91379650e-01	2.04245740e-01	2.17490710e-01	2.37801270e-01	0.00000000e+00
7.75           	9.88807430e-01	4.52001230e-01	4.59433080e-01	2.78844650e-01	0.00000000e+00
7.8            	9.84671020e-01	9.25765530e-01	9.99367500e-01	2.15547880e-01	0.00000000e+00
7.85           	9.83506960e-01	4.85357210e-01	5.22065200e-01	1.10843050e-01	0.00000000e+00
7.9            	5.68008430e-01	2.24139000e-01	2.18553630e-01	1.21439390e-01	0.00000000e+00
7.95           	1.24088810e-01	1.19906000e-01	1.06478830e-01	8.64771380e-02	0.00000000e+00
8              	5.83435240e-01	5.51061600e-02	3.55601770e-02	3.22682000e-02	0.00000000e+00
8.05           	9.99991620e-01	1.11736480e-02	2.91633380e-02	3.96577800e-02	0.00000000e+00
8.1            	9.96402320e-01	7.60321220e-02	1.01141000e-01	1.11437420e-01	0.00000000e+00
8.15           	9.93773800e-01	1.86695770e-01	2.25689230e-01	1.82891640e-01	0.00000000e+00
8.2            	9.91358680e-01	5.08091290e-01	6.23540850e-01	2.29469290e-01	0.00000000e+00
8.25           	9.88778920e-01	9.25903260e-01	9.99202640e-01	1.73494140e-01	0.00000000e+00
8.3            	9.84625400e-01	4.03827290e-01	3.96662420e-01	1.58025520e-01	0.00000000e+00
8.35           	9.83439280e-01	2.16225830e-01	2.05693470e-01	1.65925390e-01	0.00000000e+00
8.4            	5.60569610e-01	1.32793090e-01	1.20698170e-01	1.34477050e-01	0.00000000e+00
8.45           	1.27302090e-01	7.85624900e-02	6.57463860e-02	8.57716640e-02	0.00000000e+00
8.5            	5.84747810e-01	3.69470030e-02	2.19312460e-02	2.99247280e-02	0.00000000e+00
8.55           	9.99991680e-01	7.82460540e-03	2.02104540e-02	3.89096550e-02	0.00000000e+00
8.6            	9.96410910e-01	5.20383170e-02	6.57965760e-02	1.05583600e-01	0.00000000e+00
8.65           	9.93786380e-01	1.12668000e-01	1.27229430e-01	1.76025690e-01	0.00000000e+00
8.7            	9.91375230e-01	2.16830850e-01	2.31655440e-01	2.39756120e-01	0.00000000e+00
8.75           	9.88801410e-01	5.08571740e-01	5.19798580e-01	2.77306250e-01	0.00000000e+00
8.8            	9.84661380e-01	9.25222950e-01	9.99680160e-01	1.99002080e-01	0.00000000e+00
8.85           	9.83492650e-01	4.32951100e-01	4.56220690e-01	1.18784760e-01	0.00000000e+00
8.9            	5.66435010e-01	2.10030210e-01	2.03132650e-01	1.23530000e-01	0.00000000e+00
8.95           	1.24772310e-01	1.14032900e-01	1.00687440e-01	8.64902390e-02	0.00000000e+00
9              	5.83719150e-01	5.25726420e-02	3.36960400e-02	3.18299310e-02	0.00000000e+00
9.05           	9.99991610e-01	1.07956390e-02	2.79380680e-02	3.94430380e-02	0.00000000e+00
9.1            	9.96404120e-01	7.26847510e-02	9.61018100e-02	1.10860020e-01	0.00000000e+00
9.15           	9.93776460e-01	1.75254040e-01	2.09976720e-01	1.82566440e-01	0.00000000e+00
9.2            	9.91362180e-01	4.48492040e-01	5.36206830e-01	2.32341680e-01	0.00000000e+00
9.25           	9.88783690e-01	9.26283810e-01	9.99530320e-01	1.91372350e-01	0.00000000e+00
9.3            	9.84633040e-01	4.42659850e-01	4.37061160e-01	1.51586060e-01	0.00000000e+00
9.35           	9.83450630e-01	2.27590020e-01	2.17182630e-01	1.64706710e-01	0.00000000e+00
9.4            	5.61801000e-01	1.37880630e-01	1.25622510e-01	1.34969160e-01	0.00000000e+00
9.45           	1.26766670e-01	8.11193910e-02	6.80449000e-02	8.65123530e-02	0.00000000e+00
9.5            	5.84525690e-01	3.81229420e-02	2.27338180e-02	3.03677360e-02	0.00000000e+00
9.55           	9.99991680e-01	7.93582680e-03	2.07373910e-02	3.92303670e-02	0.00000000e+00
9.6            	9.96409490e-01	5.34798360e-02	6.77841340e-02	1.06603310e-01	0.00000000e+00
9.65           	9.93784290e-01	1.16695360e-01	1.32113210e-01	1.77698810e-01	0.00000000e+00
9.7            	9.91372480e-01	2.28274590e-01	2.44739320e-01	2.41457260e-01	0.00000000e+00
9.75           	9.88797660e-01	5.64641730e-01	5.82609540e-01	2.75610050e-01	0.00000000e+00
9.8            	9.84655390e-01	9.21180380e-01	9.99821460e-01	1.83954240e-01	0.00000000e+00
9.85           	9.83483750e-01	3.98073050e-01	4.13411540e-01	1.24912240e-01	0.00000000e+00
9.9            	5.65457650e-01	1.99817150e-01	1.92006510e-01	1.25138480e-01	0.00000000e+00
9.95           	1.25196310e-01	1.09666660e-01	9.63756750e-02	8.65142160e-02	0.00000000e+00
10             	5.83894530e-01	5.06773100e-02	3.22927700e-02	3.15393810e-02	0.00000000e+00
